name,alternate_name
Mac1-DLS-X0967_0A,SF003
Mac1-DLS-X0722_0A,Z287484230
Mac1-DLS-X0711_0A,mArh-x0711
Mac1-DLS-X0689_0A,Z54628578
Mac1-DLS-X0685_0A,Z219104216
Mac1-DLS-X0681_0A,Z1324853681
Mac1-DLS-X0626_0A,Z30820160
Mac1-DLS-X0592_0A,Z1562205518
Mac1-DLS-X0591_0A,Z165170770
Mac1-DLS-X0724_0A,Z102768020
Mac1-DLS-X0587_0A,Z1745658474
Mac1-DLS-X0471_0A,Z26781943
Mac1-DLS-X0438_0A,Z126932614
Mac1-DLS-X0421_0A,Z1407672867
Mac1-DLS-X0371_0A,Z26781964
Mac1-DLS-X0299_0A,Z26781952
Mac1-DLS-X0290_0A,Z927746322
Mac1-DLS-X0282_0A,Z645232558
Mac1-DLS-X0142_0A,Z321318226
Mac1-DLS-X0574_0A,Z1954800564
Mac1-DLS-X0128_0A,Z44592329
Mac1-DLS-X0742_0A,POB0103
Mac1-DLS-X0805_0A,POB0136
Mac1-DLS-X1018_0A,SF054
Mac1-DLS-X0969_0A,SF005
Mac1-DLS-X0962_1A,Z2301685688
Mac1-DLS-X0962_0B,Z2301685688
Mac1-DLS-X0962_0A,Z2301685688
Mac1-DLS-X0933_0A,Z1954800348
Mac1-DLS-X0926_0A,Z3219959731
Mac1-DLS-X0918_1A,Z955123498
Mac1-DLS-X0766_0A,POB0128
Mac1-DLS-X0918_0A,Z955123498
Mac1-DLS-X0910_0A,Z56866006
Mac1-DLS-X0905_0A,Z1741982125
Mac1-DLS-X0900_0A,Z940713508
Mac1-DLS-X0895_1A,Z57131035
Mac1-DLS-X0895_0A,Z57131035
Mac1-DLS-X0852_0B,NCL-00024661
Mac1-DLS-X0849_0A,NCL-00023833
Mac1-DLS-X0837_0A,NCL-00023824
Mac1-DLS-X0910_1A,Z56866006
Mac1-DLS-X0104_0A,Z1152242726
Mac1-DLS-X0844_0A,NCL-00023825
Mac1-DLS-EU0056_0A,Z3034471507
Mac1-DLS-EU0087_0A,AB-601_30915014
Mac1-DLS-EU0481_0A,STK346965
Mac1-DLS-EU0704_0A,EN300-697611
Mac1-DLS-EU0424_0A,Z838838708
Mac1-DLS-EU0342_0A,EN300-52144
Mac1-DLS-EU0716_0A,Z605596346
Mac1-DLS-EU0293_0A,Z1613477500
Mac1-DLS-EU0815_0A,Z409974522
Mac1-DLS-EU0291_0A,EN300-17035
Mac1-DLS-EU0241_0A,STL414928
Mac1-DLS-EU0034_0A,EN300-321461
Mac1-nuc0102_0A,m3Ado
Mac1-nuc0051_0A,c7Ado
Mac1-DLS-EU0238_0A,STK497968
Mac1-DLS-EU0844_0A,Z199959602
Mac1-DLS-EU0172_0A,EN300-105873
Mac1-DLS-EU0144_0A,EN300-301084
Mac1-DLS-EU0123_0A,EN300-108952
Mac1-DLS-EU0569_0A,Z145120524
Mac1-DLS-EU0046_0A,EN300-43406
Mac1-UCSF-P0124_0A,ZINC000001674697
Mac1-UCSF-P0206_0A,ZINC000000002055
Mac1-UCSF-P0567_0A,ZINC000003954002
Mac1-UCSF-P0190_0A,ZINC000000158650
Mac1-UCSF-P0392_0A,ZINC000000165882
Mac1-UCSF-P0451_0A,ZINC000017744334
Mac1-UCSF-P0496_0A,ZINC000045014941
Mac1-UCSF-P0387_0A,ZINC000000154817
Mac1-UCSF-P0328_0A,ZINC000000332752
Mac1-UCSF-C194_0A,ZINC000013514509
Mac1-UCSF-P1493_0A,ZINC000000265642
Mac1-UCSF-P0137_0A,ZINC000336438345
Mac1-UCSF-P1494_0A,ZINC000084843283
Mac1-UCSF-P0132_0A,ZINC000000331945
Mac1-UCSF-P0396_1A,ZINC000000005878
Mac1-UCSF-P0131_0A,ZINC000003888754
Mac1-UCSF-P0124_1A,ZINC000001674697
Mac1-UCSF-P0396_0A,ZINC000000005878
Mac1-UCSF-P0116_0A,ZINC000000001601
Mac1-UCSF-P0123_0A,ZINC000007636250
Mac1-UCSF-P0385_1A,ZINC000003591110
Mac1-UCSF-P0115_1A,ZINC000034618676
Mac1-UCSF-P0115_0A,ZINC000034618676
Mac1-UCSF-P0379_0A,ZINC000001688638
Mac1-UCSF-P0380_0A,ZINC000098208711
Mac1-UCSF-P0381_0B,ZINC000001442764
Mac1-UCSF-P0385_0A,ZINC000003591110
Mac1-UCSF-C242_0A,ZINC000000154817
