crystal_id,site_number
Mac1-DLS-X0967_0A,15
Mac1-DLS-X0722_0A,15
Mac1-DLS-X0711_0A,15
Mac1-DLS-X0689_0A,15
Mac1-DLS-X0685_0A,15
Mac1-DLS-X0681_0A,15
Mac1-DLS-X0626_0A,15
Mac1-DLS-X0592_0A,15
Mac1-DLS-X0591_0A,15
Mac1-DLS-X0724_0A,15
Mac1-DLS-X0587_0A,15
Mac1-DLS-X0471_0A,15
Mac1-DLS-X0438_0A,15
Mac1-DLS-X0421_0A,15
Mac1-DLS-X0371_0A,15
Mac1-DLS-X0299_0A,15
Mac1-DLS-X0290_0A,15
Mac1-DLS-X0282_0A,15
Mac1-DLS-X0142_0A,15
Mac1-DLS-X0574_0A,15
Mac1-DLS-X0128_0A,15
Mac1-DLS-X0742_0A,15
Mac1-DLS-X0805_0A,15
Mac1-DLS-X1018_0A,15
Mac1-DLS-X0969_0A,15
Mac1-DLS-X0962_1A:Z2301685688,15
Mac1-DLS-X0962_0B,15
Mac1-DLS-X0962_0A,15
Mac1-DLS-X0933_0A,15
Mac1-DLS-X0926_0A,15
Mac1-DLS-X0918_1A:Z955123498,15
Mac1-DLS-X0766_0A,15
Mac1-DLS-X0918_0A,15
Mac1-DLS-X0910_0A,15
Mac1-DLS-X0905_0A,15
Mac1-DLS-X0900_0A,15
Mac1-DLS-X0895_1A:Z57131035,15
Mac1-DLS-X0895_0A,15
Mac1-DLS-X0852_0B,15
Mac1-DLS-X0849_0A,15
Mac1-DLS-X0837_0A,15
Mac1-DLS-X0910_1A:Z56866006,15
Mac1-DLS-X0104_0A,15
Mac1-DLS-X0844_0A,15
Mac1-DLS-EU0056_0A,15
Mac1-DLS-EU0087_0A,15
Mac1-DLS-EU0481_0A,15
Mac1-DLS-EU0704_0A,15
Mac1-DLS-EU0424_0A,15
Mac1-DLS-EU0342_0A,15
Mac1-DLS-EU0716_0A,15
Mac1-DLS-EU0293_0A,15
Mac1-DLS-EU0815_0A,15
Mac1-DLS-EU0291_0A,15
Mac1-DLS-EU0241_0A,15
Mac1-DLS-EU0034_0A,15
Mac1-nuc0102_0A,15
Mac1-nuc0051_0A,15
Mac1-DLS-EU0238_0A,15
Mac1-DLS-EU0844_0A,15
Mac1-DLS-EU0172_0A,15
Mac1-DLS-EU0144_0A,15
Mac1-DLS-EU0123_0A,15
Mac1-DLS-EU0569_0A,15
Mac1-DLS-EU0046_0A,15
Mac1-UCSF-P0124_0A,10
Mac1-UCSF-P0206_0A,10
Mac1-UCSF-P0567_0A,10
Mac1-UCSF-P0190_0A,10
Mac1-UCSF-P0392_0A,10
Mac1-UCSF-P0451_0A,10
Mac1-UCSF-P0496_0A,10
Mac1-UCSF-P0387_0A,10
Mac1-UCSF-P0328_0A,10
Mac1-UCSF-C194_0A,0
Mac1-UCSF-P1493_0A,0
Mac1-UCSF-P0137_0A,0
Mac1-UCSF-P1494_0A,0
Mac1-UCSF-P0132_0A,0
Mac1-UCSF-P0396_1A:ZINC000000005878,0
Mac1-UCSF-P0131_0A,0
Mac1-UCSF-P0124_1A:ZINC000001674697,0
Mac1-UCSF-P0396_0A,0
Mac1-UCSF-P0116_0A,0
Mac1-UCSF-P0123_0A,0
Mac1-UCSF-P0385_1A:ZINC000003591110,0
Mac1-UCSF-P0115_1A:ZINC000034618676,0
Mac1-UCSF-P0115_0A,0
Mac1-UCSF-P0379_0A,0
Mac1-UCSF-P0380_0A,0
Mac1-UCSF-P0381_0B,0
Mac1-UCSF-P0385_0A,0
Mac1-UCSF-C242_0A,0
Mac1-UCSF-C120_0A,0
Mac1-UCSF-P0588_0A,0
Mac1-UCSF-P0142_0A,0
Mac1-UCSF-P0139_0A,0
Mac1-UCSF-P0347_0A,0
Mac1-UCSF-P0346_0A,0
Mac1-UCSF-P0345_0A,0
Mac1-UCSF-P0361_0A,0
Mac1-UCSF-P0341_0A,0
Mac1-UCSF-P0338_1A:ZINC000000002005,0
Mac1-UCSF-P0338_0A,0
Mac1-UCSF-P0337_0A,0
Mac1-UCSF-P0333_0A,0
Mac1-UCSF-P0321_0A,0
Mac1-UCSF-P0365_0A,0
Mac1-UCSF-P0306_1A:ZINC000013283576,0
Mac1-UCSF-P0306_0A,0
Mac1-UCSF-P0303_0A,0
Mac1-UCSF-P0302_0A,0
Mac1-UCSF-P0301_0A,0
Mac1-UCSF-P0284_0A,0
Mac1-UCSF-P0139_1A:ZINC000263392672,0
Mac1-UCSF-P0148_0A,0
Mac1-UCSF-P0159_0A,0
Mac1-UCSF-P0161_0A,0
Mac1-UCSF-P0163_0A,0
Mac1-UCSF-P0180_0A,0
Mac1-UCSF-P0138_0A,0
Mac1-UCSF-P0212_0A,0
Mac1-UCSF-P0365_1A:ZINC000000404062,0
Mac1-UCSF-P0228_0A,0
Mac1-UCSF-P0263_0A,0
Mac1-UCSF-P0271_0A,0
