name,alternate_name
Mpro-x11271_0A,MAT-POS-c9973a83-1
Mpro-x10888_0A,BAR-COM-0f94fc3d-38
Mpro-x2971_0A,BEN-DND-362d364a-10
Mpro-x11159_0A,EDJ-MED-0e996074-1
Mpro-x10723_0A,TRY-UNI-2eddb1ff-2
Mpro-x10417_0A,ALP-POS-95b75b4d-1
Mpro-x10801_0A,MAT-POS-590ac91e-24
Mpro-x11231_0A,NAU-LAT-8502cac5-6
Mpro-x10359_0A,ALP-POS-95b75b4d-2
Mpro-x10559_0A,MAT-POS-590ac91e-18
Mpro-x11428_0A,BEN-DND-93268d01-11
Mpro-x2600_0A,ANN-UNI-26382800-5
Mpro-x2964_0A,DAR-DIA-23aa0b97-13
Mpro-x10392_0A,JAN-GHE-83b26c96-20
Mpro-x10247_0A,JAN-GHE-83b26c96-14
Mpro-x10201_0A,EDG-MED-0da5ad92-2
Mpro-x10756_0A,BRU-LEF-c49414a7-1
Mpro-x3108_0A,GAB-REV-70cc3ca5-13
Mpro-x11368_0A,JAN-GHE-83b26c96-12
Mpro-x10022_0A,BEN-DND-031a96cc-8
Mpro-x10329_0A,JAN-GHE-83b26c96-1
Mpro-x3080_0A,GAB-REV-70cc3ca5-8
Mpro-x2908_0A,TRY-UNI-714a760b-12
Mpro-x10314_0A,TRY-UNI-2eddb1ff-1
Mpro-x2646_0A,TRY-UNI-714a760b-6
Mpro-x10488_0A,JAG-UCB-cedd89ab-4
Mpro-x11011_0A,EDJ-MED-49816e9b-1
Mpro-x11318_0A,TRY-UNI-714a760b-19
Mpro-x3366_0A,GAB-REV-70cc3ca5-18
Mpro-x10898_0A,JAG-UCB-119787ef-1
Mpro-x11013_0A,EDG-MED-0da5ad92-16
Mpro-x11225_0A,PET-SGC-a8a902d9-1
Mpro-x10906_0A,MAT-POS-968e8d9c-1
Mpro-x10565_0A,JAN-GHE-83b26c96-13
Mpro-x10476_0A,MAT-POS-590ac91e-21
Mpro-x2581_0A,ALV-UNI-7ff1a6f9-47
Mpro-x10484_0A,BEN-DND-93268d01-13
Mpro-x10834_0A,BAR-COM-0f94fc3d-23
Mpro-x10535_0A,JAN-GHE-83b26c96-18
Mpro-x11475_0A,JAG-UCB-cedd89ab-1
Mpro-x10645_0A,BAR-COM-0f94fc3d-59
Mpro-x10494_0A,EDG-MED-0da5ad92-18
Mpro-x10604_0A,JAN-GHE-5a013bed-4
Mpro-x10787_0A,BAR-COM-0f94fc3d-25
Mpro-x2643_0A,DAR-DIA-842b4336-13
Mpro-x10976_0A,EDG-MED-0da5ad92-12
Mpro-x3298_0A,BAR-COM-4e090d3a-57
Mpro-x10900_0A,TRY-UNI-2eddb1ff-3
Mpro-x10387_0A,RAL-MED-2de63afb-14
Mpro-x10473_0A,MAT-POS-590ac91e-5
Mpro-x10606_0A,JAN-GHE-83b26c96-21
Mpro-x11417_0A,BEN-DND-93268d01-8
Mpro-x11025_0A,EDG-MED-0da5ad92-21
Mpro-x10626_0A,MAT-POS-590ac91e-19
Mpro-x10800_0A,NAU-LAT-445f63e5-6
Mpro-x10371_0A,RAL-MED-2de63afb-1
Mpro-x10178_0A,DAR-DIA-23aa0b97-6
Mpro-x10327_0A,JAN-GHE-83b26c96-9
Mpro-x11764_0A,MAT-POS-044491d2-1
Mpro-x11532_0A,MIC-UNK-66895286-1
Mpro-x12321_0A,MAT-POS-044491d2-3
Mpro-x12300_0A,MAT-POS-044491d2-7
Mpro-x11507_0A,ALP-POS-0c2c77e1-1
Mpro-x11557_0A,EDG-MED-0da5ad92-5
Mpro-x11708_0A,MAT-POS-5d20d11c-1
Mpro-x11641_0A,TRY-UNI-2eddb1ff-8
Mpro-x11540_0A,MIC-UNK-66895286-3
Mpro-x11560_0A,MAT-POS-590ac91e-17
Mpro-x11513_0A,ALP-POS-f13221e1-4
Mpro-x11543_0A,ALP-POS-95b75b4d-5
Mpro-x12682_0A,ALP-POS-8b8a49e1-4
Mpro-x12740_0A,EDJ-MED-3c65e9ce-4
Mpro-x12719_0A,EDJ-MED-3c65e9ce-2
Mpro-x10421_0A,ADA-UNI-f8e79267-5
Mpro-x10856_0A,BAR-COM-0f94fc3d-58
Mpro-x2608_0A,DAR-DIA-842b4336-3
Mpro-x10598_0A,BEN-DND-93268d01-7
Mpro-x11164_0A,ALP-POS-c0c213c9-14
Mpro-x10248_0A,JAN-GHE-83b26c96-11
Mpro-x2562_0A,BAR-COM-4e090d3a-39
Mpro-x2649_0A,TRY-UNI-714a760b-18
Mpro-x10996_0A,DAR-DIA-23aa0b97-14
Mpro-x10422_0A,JAN-GHE-83b26c96-22
Mpro-x10396_0A,JAN-GHE-83b26c96-23
Mpro-x10237_0A,JOR-UNI-2fc98d0b-6
Mpro-x11354_0A,ADA-UCB-6c2cb422-3
Mpro-x10322_0A,RAL-MED-2de63afb-2
Mpro-x2572_0A,TRY-UNI-714a760b-20
Mpro-x11372_0A,JAN-GHE-83b26c96-2
Mpro-x11339_0A,ERI-UCB-5b47150d-6
Mpro-x10733_0A,BAR-COM-0f94fc3d-18
Mpro-x11564_0A,MAT-POS-f42f3716-6
Mpro-x10474_0A,MAT-POS-590ac91e-11
Mpro-x11426_0A,JAG-UCB-cedd89ab-2
Mpro-x10575_0A,MAT-POS-590ac91e-23
Mpro-x11488_0A,MAT-POS-1e5f28a7-1
Mpro-x10478_0A,MAT-POS-590ac91e-25
