crystal_id,site_number
Mpro-x11271_0A,12
Mpro-x10888_0A,12
Mpro-x2971_0A,12
Mpro-x11159_0A,12
Mpro-x10723_0A,12
Mpro-x10417_0A,12
Mpro-x10801_0A,12
Mpro-x11231_0A,12
Mpro-x10359_0A,12
Mpro-x10559_0A,12
Mpro-x11428_0A,12
Mpro-x2600_0A,12
Mpro-x2964_0A,12
Mpro-x10392_0A,12
Mpro-x10247_0A,12
Mpro-x10201_0A,12
Mpro-x10756_0A,12
Mpro-x3108_0A,12
Mpro-x11368_0A,12
Mpro-x10022_0A,12
Mpro-x10329_0A,12
Mpro-x3080_0A,12
Mpro-x2908_0A,12
Mpro-x10314_0A,12
Mpro-x2646_0A,12
Mpro-x10488_0A,12
Mpro-x11011_0A,12
Mpro-x11318_0A,12
Mpro-x3366_0A,12
Mpro-x10898_0A,12
Mpro-x11013_0A,12
Mpro-x11225_0A,12
Mpro-x10906_0A,12
Mpro-x10565_0A,12
Mpro-x10476_0A,12
Mpro-x2581_0A,12
Mpro-x10484_0A,12
Mpro-x10834_0A,12
Mpro-x10535_0A,12
Mpro-x11475_0A,12
Mpro-x10645_0A,12
Mpro-x10494_0A,12
Mpro-x10604_0A,12
Mpro-x10787_0A,12
Mpro-x2643_0A,12
Mpro-x10976_0A,12
Mpro-x3298_0A,12
Mpro-x10900_0A,12
Mpro-x10387_0A,12
Mpro-x10473_0A,12
Mpro-x10606_0A,12
Mpro-x11417_0A,12
Mpro-x11025_0A,12
Mpro-x10626_0A,12
Mpro-x10800_0A,12
Mpro-x10371_0A,12
Mpro-x10178_0A,12
Mpro-x10327_0A,12
Mpro-x11764_0A,12
Mpro-x11532_0A,12
Mpro-x12321_0A,12
Mpro-x12300_0A,12
Mpro-x11507_0A,12
Mpro-x11557_0A,12
Mpro-x11708_0A,12
Mpro-x11641_0A,12
Mpro-x11540_0A,12
Mpro-x11560_0A,12
Mpro-x11513_0A,12
Mpro-x11543_0A,12
Mpro-x12682_0A,12
Mpro-x12740_0A,12
Mpro-x12719_0A,12
Mpro-x10421_0A,12
Mpro-x10856_0A,12
Mpro-x2608_0A,12
Mpro-x10598_0A,12
Mpro-x11164_0A,12
Mpro-x10248_0A,12
Mpro-x2562_0A,12
Mpro-x2649_0A,12
Mpro-x10996_0A,12
Mpro-x10422_0A,12
Mpro-x10396_0A,12
Mpro-x10237_0A,12
Mpro-x11354_0A,12
Mpro-x10322_0A,12
Mpro-x2572_0A,12
Mpro-x11372_0A,12
