Molecule Name,Structure,CDD Number,SMILES,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Concentration (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Inhibition (%)
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.388000011444092,-0.372
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.194000005722046,-2.76
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.100000001490116,-0.881
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.0500000007450581,-1.24
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,99.5,20.4
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,49.75,8.16
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,24.8799991607666,-0.905
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,12.4399995803833,-4.03
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,99.5,20.3
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,7.46299982070923,-3.23
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,49.75,6.83
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,2.48799991607666,-3.76
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,24.8799991607666,18.6
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,1.55200004577637,-7.68
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,12.4399995803833,-1.63
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.776000022888184,84
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,7.46299982070923,-3.5
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.388000011444092,-4.04
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,2.48799991607666,-5.13
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.194000005722046,-3.2
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,1.55200004577637,-2.97
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.100000001490116,-6.11
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.776000022888184,0.265
CVD-0020433, ,,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-8,> 99.5,,,0.0500000007450581,-3.21
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,99.5,41.4
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,7.46299982070923,1.99
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,49.75,30.6
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,2.48799991607666,0.0979
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,24.8799991607666,16.6
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,1.55200004577637,1.75
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,12.4399995803833,7.89
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.776000022888184,-1.03
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,7.46299982070923,3.61
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.388000011444092,-3.04
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,2.48799991607666,-0.905
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.194000005722046,-3.64
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,1.55200004577637,-4.37
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.100000001490116,-7.21
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.776000022888184,-4.55
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.0500000007450581,-5.4
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.388000011444092,-1.89
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.194000005722046,-4.41
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.100000001490116,-7.47
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,0.0500000007450581,-7.1
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,99.5,37.5
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,49.75,35.6
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,24.8799991607666,13.1
CVD-0020432, ,,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-7,> 99.5,,,12.4399995803833,8.25
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.388000011444092,0.803
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.194000005722046,-2.44
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.100000001490116,4.45
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,0.0500000007450581,-1.24
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,99.5,20.9
CVD-0020431, ,,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,ALP-UNI-ed5cdfd2-6,> 99.5,,,49.75,29.4
